#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.1.0
LOG_FILE_VERSION : 1.0.3
LOG_CREATION_SV : 2.1.0
SUBJECT_NAME : 221_cyepi
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 01/01/1900
DEVICE_PLACEMENT : 
SUBJECT_DESCRIPTION : -
DEVICE_ID : 1607
DEVICE_MODEL : AL0101
HARDWARE_VERSION : 1.0
FIRMWARE_VERSION : 1.2
MEMORY_SIZE : 7963136
LOG_SIZE : 4737080
MEMORY_USAGE : 59.49 %
BATTERY_VOLTAGE : 3.9515
ERROR_FLAG : -
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : -
ORIENTATION : 16
MODE : -
INTERVAL : -
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : None
FILE_DATE_TIME : 30/10/2023 12:15:30
CONNECTION_SYSTEM_DATE_TIME : 30/10/2023 12:13:06
CONNECTION_DEVICE_DATE_TIME : 30/10/2023 13:13:03
DEVICE_PLACEMENT : 
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE;CAP_SENS_1;CAP_SENS_2;F1;F2;F3;F4;F5;F6;F7;F8;MELANOPIC EDI;CLEAR
23/10/2023 08:04:40;0;0;23.31;0.00;16;0;0;0;0;0;0;2.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0005;0.0005;0.0005;0.0002;1.06;0.00
23/10/2023 08:04:50;0;0;23.31;0.00;16;0;0;0;0;0;0;2.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;142;0.0000;0.0001;0.0001;0.0002;0.0005;0.0005;0.0005;0.0002;1.08;0.00
23/10/2023 08:05:00;0;0;23.25;0.00;16;0;0;0;0;0;0;2.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0001;0.0002;0.0005;0.0005;0.0005;0.0002;1.05;0.00
23/10/2023 08:05:10;0;0;23.25;0.00;16;0;0;0;0;0;0;2.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0005;0.0005;0.0005;0.0002;1.03;0.00
23/10/2023 08:05:20;0;0;23.25;0.00;16;0;0;0;0;0;0;2.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0001;0.0002;0.0005;0.0005;0.0005;0.0002;1.02;0.00
23/10/2023 08:05:30;0;0;23.25;0.00;16;0;0;0;0;0;0;2.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0002;1.16;0.00
23/10/2023 08:05:40;0;0;23.25;0.00;16;0;0;0;0;0;0;2.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.20;0.00
23/10/2023 08:05:50;0;0;23.25;0.00;16;0;0;0;0;0;0;2.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.20;0.00
23/10/2023 08:06:00;0;0;23.19;0.00;16;0;0;0;0;0;0;2.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.19;0.00
23/10/2023 08:06:10;0;0;23.25;0.00;16;0;0;0;0;0;0;2.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.20;0.00
23/10/2023 08:06:20;0;0;23.19;0.00;16;0;0;0;0;0;0;2.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.19;0.00
23/10/2023 08:06:30;0;0;23.19;0.00;16;0;0;0;0;0;0;2.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;188;141;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.19;0.00
23/10/2023 08:06:40;0;0;23.19;0.00;16;0;0;0;0;0;0;2.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.17;0.00
23/10/2023 08:06:50;0;0;23.19;0.00;16;4;0.4;0;0;0;0;2.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;186;141;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.19;0.00
23/10/2023 08:07:00;0;0;23.19;0.00;16;0;0;0;0;0;0;2.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.19;0.00
23/10/2023 08:07:10;0;0;23.19;0.00;16;0;0;0;0;0;0;2.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.20;0.00
23/10/2023 08:07:20;0;0;23.12;0.00;16;0;0;0;0;0;0;2.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;140;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.19;0.00
23/10/2023 08:07:30;0;0;23.12;0.00;16;0;0;0;0;0;0;2.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;139;0.0000;0.0001;0.0001;0.0002;0.0006;0.0005;0.0005;0.0003;1.17;0.00
23/10/2023 08:07:40;0;0;23.12;0.00;16;0;0;0;0;0;0;2.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4;187;141;0.0000;0.0001;0.0002;0.0002;0.0006;0.0005;0.0006;0.0003;1.21;0.00
